,source,disaster_type,report_dat,tags,Desa,Kecamatan,Kabupaten,Provinsi,long,lat,datetime
3716,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 4, ""condition"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Sukoharjo,Klojen,Malang,Jawa Timur,112.63093,-7.98901,2021-10-04 07:11:40
3717,grasp,earthquake,"{ ""points"": 1, ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Mulyoagung,Dau,Malang,Jawa Timur,112.58176,-7.91362,2021-10-04 07:14:35
3718,grasp,earthquake,"{ ""points"": 0, ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Kapas,Sukomoro,Nganjuk,Jawa Timur,111.94648000000001,-7.6150199999999995,2021-10-04 07:22:27
3719,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 0, ""condition"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Mangun Dikaran,Nganjuk,Nganjuk,Jawa Timur,111.91161000000001,-7.59727,2021-10-04 07:23:38
3720,grasp,earthquake,"{ ""points"": 1, ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Majangtengah,Dampit,Malang,Jawa Timur,112.7254,-8.19565,2021-10-04 07:33:27
3721,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 4, ""condition"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Sumber Suko,Purwosari,Pasuruan,Jawa Timur,112.71437,-7.74855,2021-10-04 07:42:09
3722,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Sumber Suko,Purwosari,Pasuruan,Jawa Timur,112.71425,-7.748460000000001,2021-10-04 07:42:51
3723,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 1, ""condition"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Sumbersari,Lowokwaru,Malang,Jawa Timur,112.61068,-7.958069999999999,2021-10-04 07:43:58
3724,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JI"" }",Singgit,Bandung,Tulungagung,Jawa Timur,111.77548,-8.151010000000001,2021-10-04 08:16:24
3725,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 0, ""condition"": 2 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": null }",-,-,-,-,107.40234,-4.08345,2021-10-04 10:46:28
