,source,disaster_type,Desa,Kecamatan,Kabupaten,Provinsi,long,lat,datetime,report_type,structureFailure,condition,points,accessabilityFailure
46,grasp,earthquake,Sumber Suko,Purwosari,Pasuruan,Jawa Timur,112.71425,-7.748460000000001,2021-10-04 07:42:51,structure,0,-1,-1,-1
47,grasp,earthquake,Sumbersari,Lowokwaru,Malang,Jawa Timur,112.61068,-7.958069999999999,2021-10-04 07:43:58,road,-1,0,-1,1
48,grasp,earthquake,Singgit,Bandung,Tulungagung,Jawa Timur,111.77548,-8.151010000000001,2021-10-04 08:16:24,structure,0,-1,-1,-1
49,grasp,earthquake,-,-,-,-,107.40234,-4.08345,2021-10-04 10:46:28,road,-1,2,-1,0
50,grasp,earthquake,Bulus,Bandung,Tulungagung,Jawa Timur,111.79087,-8.1387,2021-10-04 11:16:20,structure,1,-1,-1,-1
51,grasp,earthquake,Titi Rantai,Medan Baru,Medan,Sumatera Utara,98.65517,3.5502599999999997,2021-04-20 01:23:50,structure,0,-1,-1,-1
52,grasp,earthquake,Sarolangun Kembang,Sarolangun,Sarolangun,Jambi,102.74856,-2.31232,2021-04-21 03:47:27,road,-1,1,-1,2
53,grasp,earthquake,Karangsembung,Nusawungu,Cilacap,Jawa Tengah,109.34988,-7.6828,2021-04-21 06:07:15,structure,0,-1,-1,-1
54,grasp,earthquake,Cibabat,Cimahi Utara,Cimahi,Jawa Barat,107.55703000000001,-6.87412,2021-04-26 10:30:59,structure,0,-1,1,-1
55,grasp,earthquake,Jatikarya,Jatisampurna,Bekasi,Jawa Barat,106.91916,-6.38927,2021-04-27 09:29:44,road,-1,0,-1,0
56,grasp,earthquake,Tanjung,Jampang Kulon,Sukabumi,Jawa Barat,106.62116999999999,-7.24564,2021-04-27 10:49:23,structure,0,-1,-1,-1
57,grasp,earthquake,Bantargadung,Bantargadung,Sukabumi,Jawa Barat,106.69373999999999,-6.98782,2021-04-28 00:41:12,structure,1,-1,-1,-1
58,grasp,earthquake,Jalan Kereta Api,Pariaman Tengah,Pariaman,Sumatera Barat,100.13325,-0.62916,2021-02-05 17:54:20,road,-1,1,-1,2
59,grasp,earthquake,Taratak,Pariaman Tengah,Pariaman,Sumatera Barat,100.1327,-0.62895,2021-02-05 17:55:02,structure,1,-1,-1,-1
60,grasp,earthquake,Gambir,Gambir,Jakarta Pusat,Daerah Khusus Ibukota Jakarta,106.82727,-6.1754,2021-05-19 15:42:30,road,-1,2,-1,0
61,grasp,earthquake,Trawas,Trawas,Mojokerto,Jawa Timur,112.58802,-7.66489,2021-05-23 08:41:36,road,-1,0,-1,4
62,grasp,earthquake,Cireunghas,Cireunghas,Sukabumi,Jawa Barat,107.0075,-6.9436800000000005,2021-05-06 12:13:36,structure,0,-1,-1,-1
