,Location,loc,point,lat,lon,altitude
214,"HULU SUNGAI TENGAH,KALIMANTAN SELATAN","Hulu Sungai Tengah, Kalimantan Selatan, Indonesia","(-2.6187576999999997, 115.42929968958293, 0.0)",-2.6187576999999997,115.42929968958293,0.0
215,"SUKABUMI,JAWA BARAT","Sukabumi, Jawa Barat, 43111, Indonesia","(-6.9199289, 106.9265095, 0.0)",-6.9199289,106.9265095,0.0
216,"KOTA BIMA,NUSA TENGGARA BARAT","Bima, Nusa Tenggara Barat, Indonesia","(-8.4534091, 118.727689, 0.0)",-8.4534091,118.727689,0.0
217,"PASURUAN,JAWA TIMUR","Pasuruan, Jawa Timur, Indonesia","(-7.6419894, 112.906694, 0.0)",-7.6419894,112.906694,0.0
218,"BANDUNG BARAT,JAWA BARAT","Jawa Barat, Cibiru, Cipadung Kidul, Panyileukan, Bandung, Jawa Barat, 40624, Indonesia","(-6.9342173, 107.7222573, 0.0)",-6.9342173,107.7222573,0.0
219,"BOJONEGORO,JAWA TIMUR","SMP Negeri 1 Dander, Bojonegoro, Jawa Timur, KM 15, Jalan Sumberarum, Sumberarum, Bojonegoro, Jawa Timur, 62171, Indonesia","(-7.2657534, 111.8665345, 0.0)",-7.2657534,111.8665345,0.0
220,"BATU BARA,SUMATERA UTARA","Batu Bara, Sumatera Utara, Indonesia","(3.5564885999999998, 99.62844660427132, 0.0)",3.5564885999999998,99.62844660427132,0.0
221,"LUWU UTARA,SULAWESI SELATAN","Luwu Utara, Sulawesi Selatan, Indonesia","(-2.5951257, 120.2562544, 0.0)",-2.5951257,120.2562544,0.0
222,"GRESIK,JAWA TIMUR","Gresik, Jawa Timur, Indonesia","(-5.79334655, 112.6598223201143, 0.0)",-5.79334655,112.6598223201143,0.0
223,"ASAHAN,SUMATERA UTARA","Asahan, Sumatera Utara, 21211, Indonesia","(3.0963433, 99.8905262468976, 0.0)",3.0963433,99.8905262468976,0.0
224,"ACEH TENGGARA,ACEH","Aceh Tenggara, Aceh, 24651, Indonesia","(3.338797, 97.74564237389382, 0.0)",3.338797,97.74564237389382,0.0
225,"BALANGAN,KALIMANTAN SELATAN","Balangan, Kalimantan Selatan, Indonesia","(-2.28789725, 115.62054766845205, 0.0)",-2.28789725,115.62054766845205,0.0
226,"LAMONGAN,JAWA TIMUR","Lamongan, Jawa Timur, Indonesia","(-7.1229318500000005, 112.32819354965417, 0.0)",-7.1229318500000005,112.32819354965417,0.0
227,"BANGLI,BALI","Bangli, Bali, 80613, Indonesia","(-8.4603116, 115.3535198, 0.0)",-8.4603116,115.3535198,0.0
228,"KENDAL,JAWA TENGAH","Kendal, Jawa Tengah, Indonesia","(-7.01909655, 110.13747567422602, 0.0)",-7.01909655,110.13747567422602,0.0
229,"BANDUNG,JAWA BARAT","Jawa Barat, Cibiru, Cipadung Kidul, Panyileukan, Bandung, Jawa Barat, 40624, Indonesia","(-6.9342173, 107.7222573, 0.0)",-6.9342173,107.7222573,0.0
230,"GROBOGAN,JAWA TENGAH","Grobogan, Jawa Tengah, Indonesia","(-7.09809465, 110.89667670375852, 0.0)",-7.09809465,110.89667670375852,0.0
231,"KARAWANG,JAWA BARAT","Karawang, Jawa Barat, 41312, Indonesia","(-6.3042012, 107.307897, 0.0)",-6.3042012,107.307897,0.0
232,"PATI,JAWA TENGAH","Pati, Jawa Tengah, Indonesia","(-6.707092449999999, 111.08700759039746, 0.0)",-6.707092449999999,111.08700759039746,0.0
233,"KOTA BINJAI,SUMATERA UTARA","Kota Binjai, Sumatera Utara, Indonesia","(3.5999998499999997, 98.48962252562653, 0.0)",3.5999998499999997,98.48962252562653,0.0
234,"ACEH TENGAH,ACEH","Aceh Tengah, Aceh, 24562, Indonesia","(4.564266999999999, 96.96189262635659, 0.0)",4.564266999999999,96.96189262635659,0.0
235,"PASURUAN,JAWA TIMUR","Pasuruan, Jawa Timur, Indonesia","(-7.6419894, 112.906694, 0.0)",-7.6419894,112.906694,0.0
236,"SERDANG BEDAGAI,SUMATERA UTARA","Serdang Bedagai, Sumatera Utara, Indonesia","(3.5931148, 99.15833092741082, 0.0)",3.5931148,99.15833092741082,0.0
237,"DOMPU,NUSA TENGGARA BARAT","Dompu, Nusa Tenggara Barat, Indonesia","(-8.5164771, 118.33121614464076, 0.0)",-8.5164771,118.33121614464076,0.0
238,"KOTA TEGAL,JAWA TENGAH","Alun-alun Kota Tegal, Tegal, Jawa Tengah, Indonesia","(-6.8674216999999995, 109.13791323125, 0.0)",-6.8674216999999995,109.13791323125,0.0
239,"JEMBER,JAWA TIMUR","Jember, Jawa Timur, Indonesia","(-8.1688563, 113.7021772, 0.0)",-8.1688563,113.7021772,0.0
240,"PONOROGO,JAWA TIMUR","Ponorogo, Jawa Timur, Indonesia","(-7.97122665, 111.49889293326967, 0.0)",-7.97122665,111.49889293326967,0.0
241,"ACEH UTARA,ACEH","Aceh Utara, Aceh, Indonesia","(4.99119405, 97.1587368058996, 0.0)",4.99119405,97.1587368058996,0.0
242,"KOTA PANGKALPINANG,KEPULAUAN BANGKA BELITUNG","Hutan Kota Pangkalpinang, Tuatunu, Pangkalpinang, Kepulauan Bangka Belitung, Indonesia","(-2.0893249, 106.0497483, 0.0)",-2.0893249,106.0497483,0.0
243,"KOTA MEDAN,SUMATERA UTARA","Kota Medan, Sumatera Utara, Indonesia","(3.5896654, 98.6738261, 0.0)",3.5896654,98.6738261,0.0
244,"PASURUAN,JAWA TIMUR","Pasuruan, Jawa Timur, Indonesia","(-7.6419894, 112.906694, 0.0)",-7.6419894,112.906694,0.0
245,"ACEH TIMUR,ACEH","Aceh Timur, Aceh, Indonesia","(4.70166295, 97.64503901995158, 0.0)",4.70166295,97.64503901995158,0.0
246,"SUKABUMI,JAWA BARAT","Sukabumi, Jawa Barat, 43111, Indonesia","(-6.9199289, 106.9265095, 0.0)",-6.9199289,106.9265095,0.0
